Abbr,Definition,Sentence
BBM,bahan bantu mengajar,Saya tidak menyangka sekolah akan menerima buku dan set terjemahan al-Quran serta Bahan Bantu Mengajar (BBM) .
DT,Darul Tazim,Apa akan jadi kepada pasukan seperti Johor Johor DT dan Selangor yang beraksi dalam Piala AFC jika tidak mempunyai pemain import?
PAN,Parti Amanah Nasional,"Jakarta: Parti pembangkang Indonesia, PAN secara rasmi semalam menyertai parti perikatan kerajaan yang dikenali sebagai Gabungan Indonesia Hebat (KIH) ."
PKP,Persatuan Keselamatan Pengguna,"Mengikut Yang Dipertua PKP Kuala Lumpur, Samsudin Mohamad Fauzi, terdapat lebih 3,000 syarikat pinjaman berlesen berdaftar di seluruh negara yang boleh menjadi pilihan peminjam."
JPNJ,Jabatan Pendidikan Negeri Johor,"Beliau berkata, pihaknya menunggu laporan kebakaran daripada JBPM dan akan berbincang dengan JPNJ untuk mengambil langkah seterusnya seperti proses membaikpulih bangunan berkenaan."
SPK,Suruhanjaya Pelantikan Kehakiman,"Nancy sebelum ini merupakan Menteri yang bertanggungjawab ke atas BHEUU, Jabatan Insolvensi Malaysia (MDI) , Jabatan Bantuan Guaman (JBG) , Pejabat Ketua Pendaftar Mahkamah Persekutuan Malaysia, Lembaga Penasihat Jabatan Perdana Menteri, Yayasan Bantuan Guaman Kebangsaan (YBGK) , Suruhanjaya Perkhidmatan Kehakiman dan Perundangan, Bahagian Perlindungan, Institut Latihan Kehakiman dan Perundangan (ILKAP) , Pusat Timbang Tara Serantau Kuala Lumpur (KLRCA) dan SPK ."
PPKI,Program Pendidikan Khas Integrasi,Kedua adik-beradik itu mengikuti pengajian aliran PPKI sekolah berkenaan.
SMT,Sekolah Menengah Teknik,"Seorang pelajar Tingkatan Lima, Hishamuddin dari SMT di Cheras, Kuala Lumpur dibelasah beberapa orang bekas pelajar atau super senior dalam tandas pada 24 Mac 1988 (Khamis) hingga meninggal dunia."
RMK,Rancangan Malaysia Kesembilan,"Jelasnya, dalam RMK , sebanyak RM5."
PMC,Pak Majid Cherating,"Ketika ditemui di rumahnya di Kampung Baru Cherating, Kuantan, hari ini, dia yang lebih mesra disapa PMC oleh penduduk setempat gembira dan bersyukur atas pengiktirafan yang diberikan selepas bertungkus lumus menyiapkan hasil kerjanya."
JPSM,Jabatan Perhutanan Semenanjung Malaysia,"Majlis penyampaian hadiah dilakukan Ketua Pengarah JPSM , Datuk Seri Dr Abd Rahman Abd Rahim."
SMA,Sekolah Menengah Atas,"Foto Mohd Fadli Hamzah BANDA ACEH: Setiap kali menjelang 26 Disember, guru dan pelajar SMA Negeri 1 Lhoknga akan mengenang kembali tragedi tsunami yang melanda Aceh 10 tahun lalu sehingga mengakibatkan lebih 400 guru dan pelajar sekolah itu terkorban."
SSP,Sijil Simpanan Premium,"Selain itu, BSN menyampaikan hadiah kepada pemenang Cabutan Tempatan SSP bagi bulan September di karnival terbabit."
IPD,Institusi Pengurusan Dana,KUMPULAN Wang Simpanan Pekerja (KWSP) menaikkan kadar pemindahan sebahagian simpanan Akaun 1 untuk pelaburan melalui IPD dan dana unit amanah kepada 30 peratus berbanding 20 peratus sebelum ini.
PIA,Pakistan International Airlines,"Islamabad: Pesawat PIA yang nahas dengan 47 penumpang serta anak kapal kelmarin dilaporkan mengeluarkan panggilan mayday sebelum terhempas di kawasan pergunungan, kata pihak berkuasa semalam."
PBB,Pertubuhan Bangsa-Bangsa,"Foto EPA MANILA: Filipina hari ini merampas sebuah kapal Korea Utara sebagai tindak balas terhadap sekatan baharu lebih ketat yang diperkenalkan PBB susulan ujian peluru berpandu nuklear dan balistik oleh Pyongyang, baru-baru ini."
MBI,Majlis Bandaraya Ipoh,IPOH: MBI menafikan dakwaan sekumpulan remaja kononnya mereka mendapat kebenaran memanjat arca gergasi perkataan IPOH yang menjadi viral dalam media sosial beberapa hari lalu.
SFC,Sarawak Forestry Corporation,"Komander PPM Wilayah 5 Sarawak, Asisten Komisioner Salehuddin Mat Zaman, berkata rampasan itu dilakukan dalam operasi bersepadu Strategi Lautan Biru Kebangsaan (NBOS) antara PPM Wilayah 5 dan anggota Unit Risikan Marin Sarikei dengan pegawai penguat kuasa SFC ."
APM,Angkatan Pertahanan Malaysia,"Pengarah APM negeri, Kolonel Kamal Mokhtar, berkata 14 kampung terjejas disebabkan banjir di kawasan terbabit, manakala enam laluan terputus membabitkan jalan Kampung Sinoko, Baitam, Lumantak, Papas, Jambatan Baru dan jalan ke balai polis Membakut."
BCM,Bintang Cemerlang Melaka,"Daripada 923 penerima, 62 menerima Darjah Seri Melaka (DSM) , 74 BCM , 195 Bintang Khidmat Terpuji (BKT) , 208 Pingat Jasa Kebaktian (PJK) , 186 Pingat Bakti Masyarakat (PBM) dan 30 Pingat Khidmat Lama (PKL) , katanya."
SRC,Shell Refining Company,"5 sen dan 20 sen. Dagangan dalam SRC digantung hari ini selepas syarikat induknya, Royal Dutch Shell plc, mencapai persetujuan bersyarat dengan Malaysia Hengyuan International Ltd untuk menjual kepentingan ekuiti sebanyak 51 peratus dalam SRC dengan nilai RM275."
CSM,CyberSecurity Malaysia,"Yang turut hadir, Pengerusi PIKOM, Chin Chee Seong dan Ketua Pegawai Eksekutif CSM , Datuk Dr Amiruddin Abdul Wahab."
IPGM,Institusi Pendidikan Guru Malaysia,Permohonan baru bagi kemasukan PPISMP 2016 di IPGM seluruh negara berdasarkan kelayakan SPM dan STPM yang dikeluarkan 2 dan 3 Mac ini.
OPA,Old Putera Associations,"Saya juga ingin ucapkan terima kasih kepada semua pihak membantu saya selama ini terutama warga Angkatan Tentera Malaysia (ATM) , OPA , Akademi Latihan Ketenteraan (ALK) dan Universiti Pertahanan Nasional Malaysia (UPNM) , katanya ketika dihubungi sejurus tiba di tanah air, semalam."
AR,Akta Racun,"Pengarah Jabatan Siasatan Jenayah Narkotik (JSJN) Bukit Aman Datuk Seri Mohamad Salleh berkata, bagi Terengganu, seramai 54 pelajar peringkat menengah dan institusi pengajian tinggi (IPT) ditahan dan dituduh atas pelbagai kesalahan mengikut Akta Dadah Berbahaya (ADB) 1952 dan AR sepanjang tahun lalu."
HSA,Hospital Sri Aman,"Ketua Polis Daerah Sri Aman Deputi Superintendan Mat Jusoh Mohammad berkata, ketiga-tiga mayat terbabit iaitu warga Myanmar, Tun Tun Win, 36, Pang Chung Hyok, 29, (Korea Utara) dan Kardianto, 38, (Indonesia) dibawa dari HSA , di sini, pada jam 11."
KT,kapal terbang,Tulisan ini sekadar berkongsi pengalaman ketika penulis dan isteri menunaikan Haji Tamatuk bersama kira-kira 400 jemaah haji dalam Kapal Terbang (KT) 44 tahun lalu.
MAP,MaGIC Accelerator Programme,KETUA Pegawai Eksekutif Malaysian Global Innovation and Creativity Centre (MaGIC) Cheryl Yeoh menyampaikan ucapan serta merasmikan MAP Asean Demo Day 2015 di MaGIC.
MPKK,Majlis Pengurusan Komuniti Kampung,"Setiausaha MPKK , Mohd Nawawi Hussin, 55, berkata TKHM memberi peluang kepada MPKK dan organisasi pentadbiran kampung yang lain bergabung tenaga dan idea secara muafakat dengan mengadakan aktiviti rewang untuk persiapan serta ketika mengendalikan majlis berkenaan."
KMC,Kedah Medical Center,"Perkara itu dinyatakan oleh Setiausaha Politiknya, Datuk Shaiful Hazizy Zainal Abidin bahawa Menteri Besar dipindahkan ke HPP dari Unit Rawatan Rapi (ICU) KMC ."
HSB,Hospital Sultanah Bahiyah,"WANITA yang terjun dari tingkat lima HSB , Alor Setar, 5."
GCC,Gulf Cooperation Council,"Dalam pasaran dunia, Arab Saudi menguasai 55 peratus daripada sumbangan takaful global manakala di peringkat ASEAN, Malaysia dan Indonesia menguasai 30 peratus daripada keseluruhan pembangunan kasar takaful diikuti negara GCC , sebanyak 10 peratus."
PPPM,Persatuan Pandu Puteri Malaysia,"AYER KEROH: Kira-kira 100,000 ahli PPPM di seluruh negara disaran bijak menguasai bidang teknologi maklumat dan komunikasi (ICT) seiring proses kemajuan dunia."
TMP,Tahun Melawat Pahang,"Katanya, pihaknya menyambut baik usaha penganjur mengadakan kejohanan itu secara tidak langsung dapat mempromosikan taman tema itu serta menyemarakkan kempen TMP tahun ini."
KPJ,Kanun Prosedur Jenayah,"Menurutnya, kesemua tahanan direman mengikut Seksyen 117 KPJ bagi membantu siasatan."
KGT,kenaikan gaji tahunan,Antara buah tangan teristimewa diterima penjawat awam adalah pemberian KGT kepada semua 1.
ADI,Amalgamated Dinamics Inc,"Ketika kebanyakan produksi filem menggunakan kesan khas imej janaan komputer (CGI) untuk menghasilkan karya lebih berkualiti, ADI memilih cara tradisi untuk filem Harbinger Down yang mengisahkan mengenai makhluk asing."
JIPS,Jabatan Integriti Pematuhan Standard,"Lian Lay baru-baru ini dilaporkan sebagai berkata, pihaknya akan menyiasat kes itu bersama JIPS , Polis Diraja Malaysia (PDRM) , dengan kerjasama EAIC."
KPD,Kor Perkhidmatan Diraja,"45 pagi itu, mangsa, Koperal Azwan Mohd Zain membawa trak tiga tan dari Pasukan 1 KPD Port Dickson, dekat sini ke Kem 15 Rejimen Askar Melayu Diraja (RAMD) , Rasah, di sini."
HS,Hospital Serdang,"KUALA LUMPUR: Tentera Udara Diraja Malaysia (TUDM) melakukan penerbangan ihsan membawa seorang pesakit Long QT Syndrome berusia 20 tahun dari Hospital Sultanah Nur Zahirah (HSNZ) , Kuala Terengganu, ke HS , Kajang, malam tadi."
PSM,Panglima Setia Mahkota,"Mereka ialah Hakim Mahkamah Persekutuan Datuk Zainun Ali, Ketua Setiausaha Kementerian Kesihatan Datuk Farida Mohd Ali dan Ketua Setiausaha Kementerian Perdagangan Antarabangsa dan Industri (MITI) Datuk Rebecca Sta Maria, masing-masing menerima darjah kebesaran PSM yang membawa gelaran Tan Sri."
JMD,Jamu Mak Dara,"Katanya, lagu tema untuk produk keluaran JMD itu dirakam olehnya pada bulan lalu, beberapa minggu sebelum beliau dan suami mengerjakan umrah di Tanah Suci pada 28 Mac lalu."
JPT,Jawatankuasa Pertandingan Tempatan,"45 malam Dalam kenyataannya itu, JPT FAM, berkata tarikh baharu bagi empat perlawanan itu akan ditetapkan kemudian secepat mungkin."
PMR,Program Membantu Rakyat,"Dalam pada itu, bagi mengurangkan beban dan usaha menangani peningkatan kos sara hidup, kerajaan negeri memperkenalkan PMR , yang memperuntukkan RM2."
MPM,Majlis Paralimpik Malaysia,"Sementara itu, Presiden MPM , SM Nasirudin SM Nasimuddin berharap atlet paralimpik negara perlu meneruskan kejayaan berganda di Sukan Paralimpik Tokyo empat tahun lagi."
ABC,Azurani Beauty Centre,"Alor Setar: Syarikat pengeluar produk 4zi Oil, ABC yang menumpukan kepada pengeluaran produk penjagaan pernafasan komited menguasai pasaran seluruh negara menjelang pertengahan tahun ini."
JDT,Johot Darul Tazim,"Turut kenali sebagai Apek, penjaga gawang Kelantan itu kini menerima saingan hebat daripada pemain JDT , Izham Tarmizi dan Farhan Abu Bakar dari Kedah."
JKKN,Jabatan Kebudayaan & Kesenian Negara,"Bukan itu saja, kami turut membantu mendapatkan Bantuan Penggiat Seni daripada JKKN sebanyak RM10,000, katanya."
SPK,Sekolah Pendidikan Khas," SPK dibina khusus untuk menempatkan MBK yang belajar dalam kelompok mereka saja yang mana sehingga 2015, jumlah keseluruhan SPK mencecah 33 sekolah iaitu 28 daripadanya adalah Sekolah Rendah Pendidikan Khas (SKPK) dan lima Sekolah Menengah Pendidikan Khas (SMPK) , termasuk tiga Sekolah Menengah Pendidikan Khas Vokasional (SMPKV) ."
SCM,Sunway Carnival Mall,"Seberang Jaya: Hadiah loket emas 916 bakal dimenangi pengunjung ke pusat beli-belah SCM di sini, dalam meraikan sambutan perayaan Diwali bermula 14 hingga 30 Oktober ini."
SPM,Siji Pelajaran Malaysia,KOTA BHARU: Majlis Amanah Rakyat (MARA) menawarkan 300 tempat kepada pelajar lepasan SPM tahun ini bagi menyambung pengajian ke Jepun.
PSK,Program Sokongan Komuniti,Kunjungan berkenaan adalah inisiatif tanggungjawab sosial syarikat itu menerusi PSK sempena sambutan Hari Kebangsaan ke-59 yang disambut Rabu depan.
MDT,Majlis Daerah Tumpat,"Pampasan terbabit diserahkan oleh Setiausaha Kerajaan Negeri, Datuk Mohd Faudzi Che Mamat, di perkarangan kaunter cawangan MDT di sini, hari ini."
GS,goal shooter,Memasuki babak ketiga gandingan An Najwa Azizan GS dan Izyan Syazana Mohd Wazir (gol attack) semakin mantap apabila mengatasi lawan 52 berbalas 21 dan menamatkan perlawanan pertama dengan kemenangan mudah mengatasi Thailand 73 berbalas 30 mata.
JPAM,Jabatan Pertahanan Awam Malaysia,"Ketua Zon II Jabatan Bomba dan Penyelamat Terengganu, Azmi Abdul Rahim, berkata operasi pencarian yang membabitkan empat agensi, termasuk bomba, Agensi Penguatkuasaan Maritim Malaysia (APMM) , JPAM , polis dan dibantu penduduk kampung diperluaskan pada radius lebih besar."
WA,Western Australia,Perth: Skuad hoki wanita negara menamatkan saingan Liga Hoki Australia (AHL) dengan menduduki tempat ketujuh selepas tumpas kepada WA Diamonds 1-3 dalam perlawanan penentuan kelima hingga ketujuh di Stadium Hoki Perth semalam.
PBSM,Persatuan Bulan Sabit Merah,"Dalam perkembangan sama, Naib Pengerusi Kebangsaan PBSM Datuk Dr Noordin Ab Razak berkata berdasarkan laporan Persekutuan Antarabangsa Persatuan Palang Merah atau Bulan Sabit Merah Persekutuan (IFRC) , keperluan bantuan termasuk dalam bentuk kewangan adalah sangat mendesak bagi Nepal."
PMP,Prestavest Memorial Park,"ALOR SETAR: Abu mayat ahli perniagaan yang maut dalam nahas helikopter di Semenyih, Selangor dua hari lepas, Datuk Tan Huat Seang akan disemadikan di Kebun 500, PMP di sini pada Rabu ini."
AP,Actuarial Partners,"DARI kiri; Syed Moheeb; Ahli Lembaga Pengarah MII, Raja Zailan Putra Raja Azmi; Pengarah Bayswater Risk and Compliance Advisory Pte, Raymond Cheung; Nurul Shuhada; Ketua Rakan Kongsi AP Sdn Bhd, Nicholas Yeo dan Ahli Lembaga Pengarah MII, Datuk Adrian Loh selepas seminar Pemansuhan Tarif: Berhasil Dalam Persekitaran Berdaya Saing di Sasana Kijang, Kuala Lumpur, hari ini."
MSSJ,Majlis Sukan Sekolah-sekolah Johor,"Muar: Pasukan Gimnastik Artistik Ledang mencipta sejarah apabila muncul juara keseluruhan Kejohanan Gimnastik Artistik Majlis Sukan Sekolah-Sekolah Johor (MSSJ) 2015 di Sekolah Sukan Tunku Mahkota Ismail, Kota Tinggi, baru-baru ini."
IPK,Ibu Pejabat Kotinjen,"Ketua Jabatan Siasatan Jenayah IPK Kedah, Senior Asisten Komisioner, Mohd Nashir Ya (kiri) bersama Timbalan Ketua Jabatan Siasatan Jenayah Risikan Operasi IPK Kedah, Superintendan, Rahimi Raais (kanan) menunjukan sepucuk pistol jenis semi auto dan tiga butir peluru yang dirampas dalam serbuan di Kampung Siam, Sungai Seluang."
IPF,Indian Progressive Front,"Ketua Bahagian IPF Batu Kawan, M Rajagopal berkata, pihaknya amat berterima kasih kepada Datuk Kadhar menghulurkan sumbangan berkenaan, sekali gus memberikan keceriaan kepada golongan berkenaan."
TMI,The Malaysian Insight,"KUALA LUMPUR: Pertubuhan Jaringan Melayu Malaysia (JMM) hari ini, mendakwa menyerahkan 40 dokumen tambahan bagi membantu siasatan polis terhadap dakwaan berhubung kemasukan wang hampir RM3 juta ke dalam akaun portal, TMI ."
BPM,Belia Pekerja Muda,Program larian itu dianjurkan bersama Koperasi Profesional Putrajaya Berhad (KOPROJAYA) dan Persatuan BPM .
PFP,Penang Front Party,"Presiden PFP , Datuk Patrick Ooi, berkata semua korban terbabit ialah mangsa kejadian beberapa siri banjir kilat di kebanyakan kawasan di negeri ini, tanah runtuh Tanjung Bungah, dan banjir luar biasa pada Ahad lalu."
RPT,Rancangan Perumahan Tempatan,"Menurut Mohamad Fariz, sebanyak 12 hektar daripada jumlah itu digunakan bagi pembangunan RPT Perwira untuk bekas perajurit dan anggota keselamatan."
KKM,Koir Kebangsaan Malaysia,"Menurut Syafinaz, tahun ini, konsert KKM julung kali membawakan lagu tempatan, Hindi dan dangdut demi menyahut pemintaan peminat."
LPB,Lebuhraya Pan-Borneo,"Selain itu, Fadillah berkata kerajaan terus mengotakan janji menerusi pembinaan LPB membabitkan kos perbelanjaan RM2 bilion."
PTD,Pejabat Tanah dan Daerah,"Susulan itu anggota penguat kuasa PTD Kluang, Majlis Perbandaran Kluang (MPK) , JAKOA dan polis terpaksa melaksanakan penguatkuasaan dengan merobohkan kediaman penduduk yang sudah dikosongkan."
HT,Hospital Taiping,"Menurutnya, dalam kejadian jam 3 petang itu, dia yang cedera parah terpaksa menerima rawatan selama 10 hari di HT dan Hospital Pulau Pinang (HPP) ."
TOM,Tour of Malaysia,KUALA LUMPUR: Persekutuan Kebangsaan Berbasikal Malaysia (PKBM) khuatir imej negara akan terjejas di mata Kesatuan Berbasikal Antarabangsa (UCI) susulan penangguhan saat akhir TOM 2017 yang dijadualkan berlangsung pada Selasa ini.
MPS,Matriks Perakaunan Sosial,PUTRAJAYA: Jabatan Perangkaan Malaysia (DOSM) melancarkan MPS iaitu rangka kerja terperinci yang menganalisis data komprehensif bagi suatu tahun tertentu.
KRT,Kumpulan Rukun Tetangga,"Masalah berkenaan juga boleh ditangani melalui beberapa cara antaranya peranan KRT dengan melakukan pemantauan menyeluruh di sekitar kawasan berkenaan, katanya."
JKM,Jabatan Kebajikan Masyarakat,"Perkara itu disahkan Pegawai JKM , Shamsul Izrin Isahak, yang turut mengakui semua sembilan pusat pemindahan ditutup."
PDC,Park Distance Control,"Antara fungsi menarik lain pula ialah skrin sesentuh lima inci RCD330G dengan USB, iPod Interface dan AUX-In, Bluetooth dan Mirrorlink, sistem pendingin hawa automatik Climatronic, sistem enjin Start/Stop, Rear PDC dan sensor hujan serta lampu utama automatik."
JPN,Jabatan Pelajaran Negeri,"Beliau berkata, pihak kementerian sedang menunggu laporan dari JPN terbabit sebelum keputusan dibuat sama ada sekolah boleh dibuka atau tidak pada tarikh dijadualkan."
TOT,Tour of Thailand,"KUALA LUMPUR: Hasrat kapten Terengganu Cycling Team (TSG) , Mohd Zamri Saleh muncul juara di TOT 2018 masih belum kesampaian apabila sekali lagi meraih tempat kedua peringkat keempat."
ASM,Amanah Saham Malaysia,"Kuala Lumpur: Permodalan Nasional Berhad (PNB) melalui anak syarikatnya, Amanah Saham Nasional Berhad (ASNB) mengumumkan agihan pendapatan bagi ASM sebanyak 6."
SPA,Suruhanjaya Penerbangan Awam,"Menurut SPA , sebaik Pesawat Antonov 12 buatan Russia itu berlepas dari Lapangan Terbang Khamis Mushayt di selatan wilayah Asir, ia mengesan masalah teknikal pada enjin keempat."
PSG,Paris Saint-Germain,Ibrahimovic dijangka meninggalkan PSG pada akhir musim ini apabila kontrak semasanya berakhir dan dia sudah pun mendedahkan menerima tawaran dari liga utama England.
RMM,Rumah Mampu Milik,"Contohnya seperti rumah mampu milik (RMM) di Krubong yang menyediakan 600 unit walaupun permintaannya mencecah sehingga 1,200 permohonan, katanya."
BA,Brake Assist,"Jetta baharu turut dilengkapi sistem brek multi-pelanggaran, pengelap brek cakera, enam beg udara, Electronic Stability Control (ESC) , Anti-lock Braking System (ABS) dan BA , Intelligent Crash Response System (ICRS) dan Hill-hold Control."
JKKKP,Jawatankuasa Keselamatan Kemajuan Kampung Persekutuan,"Pengerusi JKKKP Kampung Sungai Rusa, Abdul Khanan Iskandar, berkata sebanyak 22 keluarga ditempatkan di pusat berkenaan."
AMP,Alliance Media Partners,Filem itu dipilih ejen penjualan filem antarabangsa iaitu AMP International Ltd berdasarkan keunikan serta potensi karya arahan Seth Larney berkenaan diterima penonton secara global.
BRI,Bank Rakyat Indonesia,Kuala Lumpur: Bank Kerjasama Rakyat Bank Rakyat (Berhad) menjalinkan kerjasama dengan PT BRI mampu dimulakan seawal tahun depan jika segala butiran kerjasama antara kedua-dua pihak dimuktamadkan menjelang akhir tahun ini.
PPMS,Pusat Pemindahan Masyarakat Setempat,"Fahmi berkongsi perasaannya apabila menjadi model jenazah ketika mengikuti Kursus Pengurusan Jenazah anjuran Biro Agama UMNO Bahagian Bagan Serai, di Surau Al-Hidayah, PPMS Batu 6, Bukit Merah, semalam."
BBJ,Boeing Business Jet,"JOHOR BAHRU: Berita mengenai Sultan Johor, Sultan Ibrahim Iskandar, dikatakan membeli pesawat eksekutif BBJ 737/800 baharu, heboh diperkatakan di laman sosial mulai semalam."
IOJ,Institut Onn Jaafar,"Beliau berkata demikian kepada pemberita selepas menyertai larian amal Malaysian United Run anjuran IOJ di Padang Merbuk, di sini, hari ini."
PPS,Pusat Pindahan Sementara,"Kesemua mangsa ditempatkan di lapan PPS di tiga daerah Manjung, Taiping dan Muallim."
PPT,Permanent Peoples Tribunal,"KUALA LUMPUR: PPT mengemukakan 17 syor, merangkumi tujuh aspek dalam merungkai kemelut isu kemanusiaan yang semakin meruncing di Myanmar."
PBT,pihak berkuasa tempat,"Katanya, pihaknya juga melaksanakan serbuan bersama PBT iaitu 13 serbuan di Kluang dan satu di Johor Bahru Selatan (JBS) ."
BB,Bungai Berduri,"Naib juara disandang BB Cubak Un manakala ketiga milik Kemuning FT. Tiga pasukan teratas itu membawa pulang hadiah wang tunai, piala dan medal disampaikan Ahli Dewan Undangan Negeri (ADUN) Balingian, Yussibnosh Balo."
ASN,Anugerah Sastera Negara,"KUALA LUMPUR: Wajar atau tidak pengarang melobi ASN , sekali gus meraih status yang membawa gelaran Sasterawan Negara (SN) ?"
DUKE,Duta-Ulu Kelang Expressway,"Lokasi Residensi Seri Wahyu juga membolehkan penduduk mendapat akses terus ke Jalan Kuching, Jalan Ipoh, Jalan Kepong, DUKE dan Jalan Lingkaran Tengah Dua (MRR2) ."
SAS,Sultan Alam Shah,"Foto Mustaffa Kamal KUANTAN: Polis Pahang berjaya mematahkan satu sindiket pengedaran dadah jenis pil kuda dan syabu yang aktif di sekitar bandar ini, Maran dan Temerloh dalam serbuan di Jalan Air Putih dan Taman Kota SAS di sini, kelmarin."
GS,Grand Slam,"Foto Aswadi Alias DUNGUN: Seramai 350 kaki pancing, termasuk 80 peserta ranking dari seluruh negara, berentap dalam Karnival Memancing GP Joran BH 2015, Pusingan Akhir GS yang berlangsung di Pantai Teluk Lipat, di sini, pagi ini."
FFM,Festival Filem Malaysia,"Selain Diana yang berjaya mengulangi pencapaian pada FFM ke-29, baru-baru ini, seorang lagi aktres, Sangeeta Krishnasamy, turut mencatat kejayaan sama apabila diangkat sebagai Pelakon Wanita Terbaik Filem menerusi Adiwiraku."
SPPA,Sistem Permohonan Pekerja Asing,"Sementara itu, beliau berkata, pengambilan pekerja asing boleh dibuat melalui sistem atas talian iaitu Sistem Pengurusan Pekerja Asing Bersepadu (ePPAx) dan SPPA ."
UPEN,Unit Perancang Ekonomi Negeri,"Sallehen berkata, beliau menerima maklumat berkenaan pembekuan peruntukan itu daripada pegawai UPEN Selangor."
PPKPR,Pasukan Penguasa Keselamatan Pilihan Raya,"Kita akan minta PPKPR untuk mengambil tindakan lanjut, sekiranya masih berdegil tindakan susulan akan dilakukan termasuk membuat laporan polis, katanya."
PPUM,Pusat Perubatan Universiti Malaysia,"Menurut Zainol, mangsa yang cedera di kepala, tangan dan kaki dihantar ke PPUM , Petaling Jaya, untuk rawatan."
ABP,Anugerah Bintang Popular,Calon awal kategori Pelakon TV Lelaki dan Pelakon Filem Lelaki ABP BH 2014 itu selesa dengan perkembangannya saat ini.
TOT,Training of Trainers,"Analogi mengenai penilaian kendiri integriti - yang masih diingat penulis ketika menghadiri kursus TOT sejurus Pelan Integriti Nasional (PIN) dilancar pada 2004 - adalah dengan membayangkan situasi di persimpangan lampu isyarat pada jam 2 pagi, ketika lampu merah menyala dan tiada sesiapa di situ kecuali diri anda sendiri."
ABFC,Australian Border Force Cutter,"Latihan kali ini juga menyaksikan buat kali pertama ABF membawa kapal terbesar mereka, ABFC Ocean Shield, yang pernah digunakan untuk misi pencarian pesawat MH370 sebelum ini."
PVMA,Program Vokasional Menengah Atas,Nilai: Sebanyak 404 sekolah menengah dipilih Kementerian Pendidikan melaksanakan PVMA bermula tahun ini.
KBC,Kedai Bebas Cukai,Langkah pertama ialah menerusi penstrukturan semula saluran jualan rokok dan minuman keras bebas cukai dengan mewujudkan KBC menggunakan Sistem Semakan Kuota KBC (SSKK) .
LAM,Lembaga Arkitek Malaysia,"Hadir menyempurnakan pelancaran buku berkenaan ialah Penaung Diraja KLAF2018, Tengku Zatashah Sultan Sharafuddin Idris Shah bersama Datuk Bandar, Tan Sri Mohd Amin Nordin Abdul Aziz dan Presiden LAM ."
FR,Formula Renault,"Pelumba utama Malaysia di peringkat antarabangsa, Jazeman Jaafar, baru melengkapkan musim perlumbaan 2014 yang memberi fokus terhadap pertarungan dalam musim kedua Siri FR 3."
SPNB,Syarikat Perumahan Negara Berhad,KUALA LUMPUR: Trive Property Sdn Bhd (TPSB) memeterai memorandum persefahaman (MoU) dengan Tenaga Meriah Sdn Bhd (TMSB) sebagai kontraktor siap guna bagi projek pembangunan perumahan SPNB di Kuala Lumpur.
AHM,Airbus Helicopters Malaysia,"Oleh itu, kami komited untuk memastikan sasaran negara dalam menghasilkan 15,000 tenaga kerja mahir menjelang 2030 tercapai, katanya selepas majlis menandatangani perjanjian antara DTS dan AHM di sini, semalam."
PTD,Panglima Tentera Darat,"KUALA LUMPUR: Panglima Angkatan Tentera (PAT) , Jeneral Tan Sri Zulkifeli Mohd Zin, diraikan dalam penuh adat istiadat ketenteraan pada Majlis Perbarisan Penghargaan PAT ke-18 sempena persaraan beliau di Dataran PTD , Kem Perdana Sungai Besi di sini, hari ini."
FSK,Festival Sastera Kanak-kanak,"Ini sekali gus dapat meletakkan sistem pendidikan ke tahap yang lebih tinggi di samping mewujudkan lebih ramai penulis buku kanak-kanak yang berbakat, katanya selepas merasmikan Festival Sastera Kanak-Kanak (FSK) 2014, di sini, semalam."
PJN,Pengacara Jemputan Nona,"Jelas Zurina lagi, Nona Manis akan diteruskan bagi menggantikan program PJN ."
PUCM,Persatuan Usahawan China di Malaysia,"Baginda bertitah dalam majlis sambutan ulang tahun pertama PUCM serta sambutan Tahun Baru Cina persatuan itu di Menara Berkembar Petronas, di sini."
HMI,Hospital Mesra Ibadah,"Kota Bharu: Sehingga kini, 146 hospital awam seluruh negara melaksanakan konsep HMI dengan kerjasama Jabatan Kemajuan Islam Malaysia (JAKIM) ."
MPSP,Majlis Perbandaran Seberang Prai,"Berikutan itu, seorang daripada mangsa dikenali sebagai Che Sub Saad, 56, kakitangan MPSP meninggal dunia di tempat kejadian manakala mangsa kedua, Mohd Fizal Ahmad, 32, meninggal dunia ketika dalam perjalanan ke Hospital Seberang Jaya (HSJ) ."
PAM,Persidangan Air Malaysia,"Kesan perubahan cuaca juga menjejaskan kuantiti dan kualiti sumber air sedia ada, fenomena alam ini menghendaki pengurusan sumber air terutamanya dalam bidang pertanian dilaksanakan secara berhemah, katanya pada Perasmian PAM 2014 dekat sini, hari ini."
MDB,Majlis Daerah Besut,"Beliau berkata demikian kepada media sempena Rumah Terbuka Aidilfitri di Dewan MDB Gong Kemuntong, di sini hari ini."
PBM,Parlimen Belia Malaysia,"KUALA LUMPUR: Cadangan supaya kerajaan mengkaji semula larangan pelaksanaan hukuman rotan sebagai antara bentuk hukuman murid adalah antara empat usul dibahaskan pada persidangan PBM Sidang Pertama 2018 bermula di Dewan Rakyat, hari ini."
ADB,Akta Dadah Berbahaya,"Katanya, daripada jumlah itu, 22 individu disiasat mengikut Seksyen 15 ADB 1952 dan 10 lagi disiasat mengikut Seksyen 3 Akta Penagihan Dadah (APD) 1983."
